UID,SpeciesName,ProjectStatus,NCBIAccessionNumber,Domain,Kingdom,Phylum,Family,Genus
49,Bubalus_bubalis,Permanent_Draft,PRJNA40113,EUKARYAL,Metazoa,Chordata,Bovidae,Bubalus
50,Phoenix_dactylifera,Permanent_Draft,PRJNA40349,EUKARYAL,Viridiplantae,Streptophyta,Arecaceae,Phoenix
51,Aplysia_californica,Permanent_Draft,PRJNA13635,EUKARYAL,Metazoa,Mollusca,Aplysiidae,Aplysia
52,Procavia_capensis,Permanent_Draft,PRJNA13972,EUKARYAL,Metazoa,Chordata,Procaviidae,Procavia
53,Ochotona_princeps,Permanent_Draft,PRJNA19235,EUKARYAL,Metazoa,Chordata,Ochotonidae,Ochotona
54,Marchantia_polymorpha,Permanent_Draft,PRJNA53523,EUKARYAL,Viridiplantae,Streptophyta,Marchantiaceae,Marchantia
55,Asclepias_syriaca,Complete_and_Published,PRJNA47027,EUKARYAL,Viridiplantae,Streptophyta,Apocynaceae,Asclepias
56,Labeotropheus_fuelleborni,Permanent_Draft,PRJNA29479,EUKARYAL,Metazoa,Chordata,Cichlidae,Labeotropheus
57,Salix_purpurea,Permanent_Draft,PRJNA59609,EUKARYAL,Viridiplantae,Streptophyta,Salicaceae,Salix
58,Nippostrongylus_brasiliensis,complete,PRJNA20449,EUKARYAL,Metazoa,Nematoda,Heligmonellidae,Nippostrongylus
59,Pogonomyrmex_barbatus,Permanent_Draft,PRJNA45797,EUKARYAL,Metazoa,Arthropoda,Formicidae,Pogonomyrmex
60,Eucalyptus_grandis,Permanent_Draft,PRJNA49047,EUKARYAL,Viridiplantae,Streptophyta,Myrtaceae,Eucalyptus
61,Patiria_miniata,Permanent_Draft,PRJNA49323,EUKARYAL,Metazoa,Echinodermata,Asterinidae,Patiria
62,Linepithema_humile,Permanent_Draft,PRJNA45799,EUKARYAL,Metazoa,Arthropoda,Formicidae,Linepithema
63,Camelus_dromedarius,complete,_,EUKARYAL,Metazoa,Chordata,Camelidae,Camelus
64,Vigna_radiata,Permanent_Draft,PRJNA32351,EUKARYAL,Viridiplantae,Streptophyta,Fabaceae,Vigna
65,Dicentrarchus_labrax,Permanent_Draft,PRJEA39865,EUKARYAL,Metazoa,Chordata,Moronidae,Dicentrarchus
66,Castanea_mollissima,Permanent_Draft,PRJNA46687,EUKARYAL,Viridiplantae,Streptophyta,Fagaceae,Castanea
67,Camponotus_floridanus,Permanent_Draft,PRJNA50201,EUKARYAL,Metazoa,Arthropoda,Formicidae,Camponotus
68,Apis_florea,Permanent_Draft,PRJNA45871,EUKARYAL,Metazoa,Arthropoda,Apidae,Apis
69,Chlorokybus_atmophyticus,Complete_and_Published,PRJNA51157,EUKARYAL,Viridiplantae,Streptophyta,Chlorokybaceae,Chlorokybus
70,Fragaria_vesca,Permanent_Draft,PRJNA60037,EUKARYAL,Viridiplantae,Streptophyta,Rosaceae,Fragaria
71,Citrus_trifoliata,Complete_and_Published,PRJNA53907,EUKARYAL,Viridiplantae,Streptophyta,Rutaceae,Citrus
72,Peromyscus_maniculatus,Permanent_Draft,PRJNA53563,EUKARYAL,Metazoa,Chordata,Cricetidae,Peromyscus
73,Haplochromis_burtoni,Permanent_Draft,PRJNA60363,EUKARYAL,Metazoa,Chordata,Cichlidae,Haplochromis
74,Neolamprologus_brichardi,Permanent_Draft,PRJNA60365,EUKARYAL,Metazoa,Chordata,Cichlidae,Neolamprologus
75,Pundamilia_nyererei,Permanent_Draft,PRJNA60367,EUKARYAL,Metazoa,Chordata,Cichlidae,Pundamilia
76,Glossina_morsitans,Permanent_Draft,PRJEA59499,EUKARYAL,Metazoa,Arthropoda,Glossinidae,Glossina
77,Sebastes_rubrivinctus,Permanent_Draft,PRJNA62009,EUKARYAL,Metazoa,Chordata,Sebastidae,Sebastes
78,Ascaris_suum,Permanent_Draft,PRJNA62057,EUKARYAL,Metazoa,Nematoda,Ascarididae,Ascaris
79,Python_molurus,Permanent_Draft,PRJNA61243,EUKARYAL,Metazoa,Chordata,Pythonidae,Python
80,Galendromus_occidentalis,Permanent_Draft,PRJNA62309,EUKARYAL,Metazoa,Arthropoda,Phytoseiidae,Galendromus
81,Drosophila_bipectinata,Permanent_Draft,PRJNA62313,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
82,Drosophila_elegans,Permanent_Draft,PRJNA62315,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
83,Drosophila_ficusphila,Permanent_Draft,PRJNA62317,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
84,Drosophila_takahashii,Permanent_Draft,PRJNA62321,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
85,Drosophila_kikkawai,Permanent_Draft,PRJNA62319,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
86,Drosophila_biarmipes,Permanent_Draft,PRJNA62307,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
87,Camelus_bactrianus,Complete_and_Published,PRJNA62509,EUKARYAL,Metazoa,Chordata,Camelidae,Camelus
88,Anguilla_japonica,Permanent_Draft,PRJNA158309,EUKARYAL,Metazoa,Chordata,Anguillidae,Anguilla
89,Azadirachta_indica,Permanent_Draft,PRJNA176672,EUKARYAL,Viridiplantae,Streptophyta,Meliaceae,Azadirachta
90,Zostera_marina,Permanent_Draft,PRJNA41721,EUKARYAL,Viridiplantae,Streptophyta,Zosteraceae,Zostera
91,Bos_indicus,Permanent_Draft,PRJNA72827,EUKARYAL,Metazoa,Chordata,Bovidae,Bos
92,Citrus_clementina,Permanent_Draft,PRJNA223006,EUKARYAL,Viridiplantae,Streptophyta,Rutaceae,Citrus
93,Citrus_sinensis,Permanent_Draft,PRJNA323162,EUKARYAL,Viridiplantae,Streptophyta,Rutaceae,Citrus
94,Arabidopsis_arenosa,targeted,_,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Arabidopsis
95,Prunus_mume,Permanent_Draft,PRJNA171605,EUKARYAL,Viridiplantae,Streptophyta,Rosaceae,Prunus
96,Bos_mutus,Permanent_Draft,PRJNA74739,EUKARYAL,Metazoa,Chordata,Bovidae,Bos
97,Anopheles_farauti,Permanent_Draft,PRJNA67229,EUKARYAL,Metazoa,Arthropoda,Culicidae,Anopheles
98,Cicer_arietinum,Complete_and_Published,PRJNA175619,EUKARYAL,Viridiplantae,Streptophyta,Fabaceae,Cicer
99,Anopheles_arabiensis,Permanent_Draft,PRJNA191565,EUKARYAL,Metazoa,Arthropoda,Culicidae,Anopheles
100,Anopheles_melas,Permanent_Draft,PRJNA163117,EUKARYAL,Metazoa,Arthropoda,Culicidae,Anopheles
101,Orycteropus_afer,Permanent_Draft,PRJNA74587,EUKARYAL,Metazoa,Chordata,Orycteropodidae,Orycteropus
102,Chrysochloris_asiatica,Permanent_Draft,PRJNA74591,EUKARYAL,Metazoa,Chordata,Chrysochloridae,Chrysochloris
103,Saimiri_boliviensis,Permanent_Draft,PRJNA67945,EUKARYAL,Metazoa,Chordata,Cebidae,Saimiri
104,Condylura_cristata,Permanent_Draft,PRJNA72447,EUKARYAL,Metazoa,Chordata,Talpidae,Condylura
105,Elephantulus_edwardii,Permanent_Draft,PRJNA74589,EUKARYAL,Metazoa,Chordata,Macroscelididae,Elephantulus
106,Eptesicus_fuscus,Permanent_Draft,PRJNA72449,EUKARYAL,Metazoa,Chordata,Vespertilionidae,Eptesicus
107,Trichechus_manatus,Permanent_Draft,PRJNA68243,EUKARYAL,Metazoa,Chordata,Trichechidae,Trichechus
108,Mustela_putorius,Permanent_Draft,PRJNA78213,EUKARYAL,Metazoa,Chordata,Mustelidae,Mustela
109,Ceratotherium_simum,Permanent_Draft,PRJNA74583,EUKARYAL,Metazoa,Chordata,Rhinocerotidae,Ceratotherium
110,Leptonychotes_weddellii,Permanent_Draft,PRJNA68235,EUKARYAL,Metazoa,Chordata,Phocidae,Leptonychotes
111,Vipera_berus,Permanent_Draft,PRJNA170536,EUKARYAL,Metazoa,Chordata,Viperidae,Vipera
112,Geospiza_fortis,Permanent_Draft,PRJNA156703,EUKARYAL,Metazoa,Chordata,Thraupidae,Geospiza
113,Pseudopodoces_humilis,Permanent_Draft,PRJNA175930,EUKARYAL,Metazoa,Chordata,Paridae,Pseudopodoces
114,Pteropus_alecto,Permanent_Draft,PRJNA171993,EUKARYAL,Metazoa,Chordata,Pteropodidae,Pteropus
115,Falco_cherrug,Permanent_Draft,PRJNA168071,EUKARYAL,Metazoa,Chordata,Falconidae,Falco
116,Myotis_davidii,Permanent_Draft,PRJNA171994,EUKARYAL,Metazoa,Chordata,Vespertilionidae,Myotis
117,Pantholops_hodgsonii,Permanent_Draft,PRJNA72465,EUKARYAL,Metazoa,Chordata,Bovidae,Pantholops
118,Columba_livia,Permanent_Draft,PRJNA167554,EUKARYAL,Metazoa,Chordata,Columbidae,Columba
119,Chelonia_mydas,Permanent_Draft,PRJNA104937,EUKARYAL,Metazoa,Chordata,Cheloniidae,Chelonia
120,Falco_peregrinus,Permanent_Draft,PRJNA159791,EUKARYAL,Metazoa,Chordata,Falconidae,Falco
121,Hevea_brasiliensis,Permanent_Draft,PRJNA80191,EUKARYAL,Viridiplantae,Streptophyta,Euphorbiaceae,Hevea
