UID,SpeciesName,ProjectStatus,NCBIAccessionNumber,Domain,Kingdom,Phylum,Family,Genus
216,Pteronotus_parnellii,Permanent_Draft,PRJNA209408,EUKARYAL,Metazoa,Chordata,Mormoopidae,Pteronotus
217,Drosophila_suzukii,Permanent_Draft,PRJNA213258,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
218,Ceratosolen_solmsi,Permanent_Draft,PRJNA178998,EUKARYAL,Metazoa,Arthropoda,Agaonidae,Ceratosolen
219,Mytilus_galloprovincialis,Permanent_Draft,PRJNA178783,EUKARYAL,Metazoa,Mollusca,Mytilidae,Mytilus
220,Anser_cygnoides,Permanent_Draft,PRJNA183603,EUKARYAL,Metazoa,Chordata,Anatidae,Anser
221,Locusta_migratoria,Permanent_Draft,PRJNA185471,EUKARYAL,Metazoa,Arthropoda,Acrididae,Locusta
222,Fragaria_iinumae,Permanent_Draft,PRJDB1478,EUKARYAL,Viridiplantae,Streptophyta,Rosaceae,Fragaria
223,Fragaria_nipponica,Permanent_Draft,PRJDB1479,EUKARYAL,Viridiplantae,Streptophyta,Rosaceae,Fragaria
224,Raphanus_raphanistrum,Permanent_Draft,PRJNA209513,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Raphanus
225,Ophiophagus_hannah,Permanent_Draft,PRJNA201683,EUKARYAL,Metazoa,Chordata,Elapidae,Ophiophagus
226,Sesamum_indicum,Complete_and_Published,PRJNA186669,EUKARYAL,Viridiplantae,Streptophyta,Pedaliaceae,Sesamum
227,Coturnix_japonica,Permanent_Draft,PRJDB1146,EUKARYAL,Metazoa,Chordata,Phasianidae,Coturnix
228,Serinus_canaria,Permanent_Draft,PRJEB1766,EUKARYAL,Metazoa,Chordata,Fringillidae,Serinus
229,Hordeum_pubiflorum,Permanent_Draft,PRJEB3404,EUKARYAL,Viridiplantae,Streptophyta,Poaceae,Hordeum
230,Capsicum_annuum,Permanent_Draft,PRJNA223222,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Capsicum
231,Larimichthys_crocea,Permanent_Draft,PRJNA237858,EUKARYAL,Metazoa,Chordata,Sciaenidae,Larimichthys
232,Haliaeetus_leucocephalus,Permanent_Draft,PRJNA237821,EUKARYAL,Metazoa,Chordata,Accipitridae,Haliaeetus
233,Raphanus_sativus,Permanent_Draft,PRJNA239785,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Raphanus
234,Thlaspi_arvense,Permanent_Draft,PRJNA222676,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Thlaspi
235,Bactrocera_tryoni,Permanent_Draft,PRJNA241080,EUKARYAL,Metazoa,Arthropoda,Tephritidae,Bactrocera
236,Colinus_virginianus,Permanent_Draft,PRJNA188411,EUKARYAL,Metazoa,Chordata,Odontophoridae,Colinus
237,Aquila_chrysaetos,Permanent_Draft,PRJNA222866,EUKARYAL,Metazoa,Chordata,Accipitridae,Aquila
238,Arabis_alpina,Permanent_Draft,PRJNA241291,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Arabis
239,Pampus_argenteus,Permanent_Draft,PRJNA240272,EUKARYAL,Metazoa,Chordata,Stromateidae,Pampus
240,Acanthisitta_chloris,Permanent_Draft,PRJNA212877,EUKARYAL,Metazoa,Chordata,Acanthisittidae,Acanthisitta
241,Apaloderma_vittatum,Permanent_Draft,PRJNA212878,EUKARYAL,Metazoa,Chordata,Trogonidae,Apaloderma
242,Balearica_regulorum,Permanent_Draft,PRJNA212879,EUKARYAL,Metazoa,Chordata,Gruidae,Balearica
243,Buceros_rhinoceros,Permanent_Draft,PRJNA212887,EUKARYAL,Metazoa,Chordata,Bucerotidae,Buceros
244,Calypte_anna,Permanent_Draft,PRJNA212866,EUKARYAL,Metazoa,Chordata,Trochilidae,Calypte
245,Antrostomus_carolinensis,Permanent_Draft,PRJNA212888,EUKARYAL,Metazoa,Chordata,Caprimulgidae,Antrostomus
246,Cariama_cristata,Permanent_Draft,PRJNA212889,EUKARYAL,Metazoa,Chordata,Cariamidae,Cariama
247,Cathartes_aura,Permanent_Draft,PRJNA212890,EUKARYAL,Metazoa,Chordata,Cathartidae,Cathartes
248,Chaetura_pelagica,Permanent_Draft,PRJNA210808,EUKARYAL,Metazoa,Chordata,Apodidae,Chaetura
249,Charadrius_vociferus,Permanent_Draft,PRJNA212867,EUKARYAL,Metazoa,Chordata,Charadriidae,Charadrius
250,Chlamydotis_macqueenii,Permanent_Draft,PRJNA212891,EUKARYAL,Metazoa,Chordata,Otididae,Chlamydotis
251,Colius_striatus,Permanent_Draft,PRJNA212892,EUKARYAL,Metazoa,Chordata,Coliidae,Colius
252,Corvus_brachyrhynchos,Permanent_Draft,PRJNA212869,EUKARYAL,Metazoa,Chordata,Corvidae,Corvus
253,Cuculus_canorus,Permanent_Draft,PRJNA212870,EUKARYAL,Metazoa,Chordata,Cuculidae,Cuculus
254,Egretta_garzetta,Permanent_Draft,PRJNA232959,EUKARYAL,Metazoa,Chordata,Ardeidae,Egretta
255,Eurypyga_helias,Permanent_Draft,PRJNA212893,EUKARYAL,Metazoa,Chordata,Eurypygidae,Eurypyga
256,Fulmarus_glacialis,Permanent_Draft,PRJNA212894,EUKARYAL,Metazoa,Chordata,Procellariidae,Fulmarus
257,Gavia_stellata,Permanent_Draft,PRJNA212895,EUKARYAL,Metazoa,Chordata,Gaviidae,Gavia
258,Gyrodactylus_salaris,Permanent_Draft,PRJNA244375,EUKARYAL,Metazoa,Platyhelminthes,Gyrodactylidae,Gyrodactylus
259,Haliaeetus_albicilla,Permanent_Draft,PRJNA212896,EUKARYAL,Metazoa,Chordata,Accipitridae,Haliaeetus
260,Leptosomus_discolor,Permanent_Draft,PRJNA212897,EUKARYAL,Metazoa,Chordata,Leptosomidae,Leptosomus
261,Manacus_vitellinus,Permanent_Draft,PRJNA212872,EUKARYAL,Metazoa,Chordata,Pipridae,Manacus
262,Merops_nubicus,Permanent_Draft,PRJNA212898,EUKARYAL,Metazoa,Chordata,Meropidae,Merops
263,Mesitornis_unicolor,Permanent_Draft,PRJNA212899,EUKARYAL,Metazoa,Chordata,Mesitornithidae,Mesitornis
264,Nestor_notabilis,Permanent_Draft,PRJNA212900,EUKARYAL,Metazoa,Chordata,Psittacidae,Nestor
265,Nipponia_nippon,Permanent_Draft,PRJNA232572,EUKARYAL,Metazoa,Chordata,Threskiornithidae,Nipponia
266,Opisthocomus_hoazin,Permanent_Draft,PRJNA212873,EUKARYAL,Metazoa,Chordata,Opisthocomidae,Opisthocomus
267,Pelecanus_crispus,Permanent_Draft,PRJNA212901,EUKARYAL,Metazoa,Chordata,Pelecanidae,Pelecanus
268,Phaethon_lepturus,Permanent_Draft,PRJNA212902,EUKARYAL,Metazoa,Chordata,Phaethontidae,Phaethon
269,Phalacrocorax_carbo,Permanent_Draft,PRJNA212903,EUKARYAL,Metazoa,Chordata,Phalacrocoracidae,Phalacrocorax
270,Phoenicopterus_ruber,Permanent_Draft,PRJNA212904,EUKARYAL,Metazoa,Chordata,Phoenicopteridae,Phoenicopterus
271,Picoides_pubescens,Permanent_Draft,PRJNA212874,EUKARYAL,Metazoa,Chordata,Picidae,Picoides
272,Podiceps_cristatus,Permanent_Draft,PRJNA212905,EUKARYAL,Metazoa,Chordata,Podicipedidae,Podiceps
273,Pterocles_gutturalis,Permanent_Draft,PRJNA212906,EUKARYAL,Metazoa,Chordata,Pteroclidae,Pterocles
274,Pygoscelis_adeliae,Permanent_Draft,PRJNA235983,EUKARYAL,Metazoa,Chordata,Spheniscidae,Pygoscelis
275,Struthio_camelus,Permanent_Draft,PRJNA212875,EUKARYAL,Metazoa,Chordata,Struthionidae,Struthio
276,Tauraco_erythrolophus,Permanent_Draft,PRJNA212908,EUKARYAL,Metazoa,Chordata,Musophagidae,Tauraco
277,Tyto_alba,Permanent_Draft,PRJNA212909,EUKARYAL,Metazoa,Chordata,Tytonidae,Tyto
278,Aquilaria_agallochum,Permanent_Draft,PRJNA240626,EUKARYAL,Viridiplantae,Streptophyta,Thymelaeaceae,Aquilaria
279,Equus_przewalskii,Permanent_Draft,PRJNA200657,EUKARYAL,Metazoa,Chordata,Equidae,Equus
280,Colobus_angolensis,Permanent_Draft,PRJNA251421,EUKARYAL,Metazoa,Chordata,Cercopithecidae,Colobus
281,Silybum_marianum,Permanent_Draft,PRJNA251972,EUKARYAL,Viridiplantae,Streptophyta,Asteraceae,Silybum
282,Bactrocera_dorsalis,Permanent_Draft,PRJNA208413,EUKARYAL,Metazoa,Arthropoda,Tephritidae,Bactrocera
283,Eragrostis_tef,Permanent_Draft,PRJNA253673,EUKARYAL,Viridiplantae,Streptophyta,Poaceae,Eragrostis
284,Cyprinodon_nevadensis,Permanent_Draft,PRJNA254053,EUKARYAL,Metazoa,Chordata,Cyprinodontidae,Cyprinodon
285,Fraxinus_excelsior,Permanent_Draft,PRJEB4958,EUKARYAL,Viridiplantae,Streptophyta,Oleaceae,Fraxinus
286,Solanum_habrochaites,Permanent_Draft,PRJEB5227,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Solanum
287,Solanum_pennellii,Permanent_Draft,PRJEB5228,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Solanum
288,Ursus_arctos,Permanent_Draft,PRJEB5121,EUKARYAL,Metazoa,Chordata,Ursidae,Ursus
289,Bison_bison,Permanent_Draft,PRJNA257088,EUKARYAL,Metazoa,Chordata,Bovidae,Bison
290,Spodoptera_frugiperda,Permanent_Draft,PRJNA257248,EUKARYAL,Metazoa,Arthropoda,Noctuidae,Spodoptera
291,Primula_veris,Permanent_Draft,PRJNA238546,EUKARYAL,Viridiplantae,Streptophyta,Primulaceae,Primula
292,Crotalus_pyrrhus,Permanent_Draft,PRJNA255393,EUKARYAL,Metazoa,Chordata,Viperidae,Crotalus
293,Arabis_montbretiana,Permanent_Draft,PRJNA258048,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Arabis
294,Arabis_nordmanniana,Permanent_Draft,PRJNA258061,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Arabis
295,Gossypium_hirsutum,Permanent_Draft,PRJNA259930,EUKARYAL,Viridiplantae,Streptophyta,Malvaceae,Gossypium
296,Musa_balbisiana,Complete_and_Published,PRJEB366,EUKARYAL,Viridiplantae,Streptophyta,Musaceae,Musa
297,Nasalis_larvatus,Permanent_Draft,PRJNA241312,EUKARYAL,Metazoa,Chordata,Cercopithecidae,Nasalis
298,Amphilophus_citrinellus,Permanent_Draft,PRJEB6974,EUKARYAL,Metazoa,Chordata,Cichlidae,Amphilophus
299,Capreolus_capreolus,Permanent_Draft,PRJEB4372,EUKARYAL,Metazoa,Chordata,Cervidae,Capreolus
300,Nilaparvata_lugens,Permanent_Draft,PRJNA177647,EUKARYAL,Metazoa,Arthropoda,Delphacidae,Nilaparvata
301,Dermatophagoides_farinae,Permanent_Draft,PRJNA174061,EUKARYAL,Metazoa,Arthropoda,Pyroglyphidae,Dermatophagoides
302,Populus_deltoides,Permanent_Draft,PRJNA333102,EUKARYAL,Viridiplantae,Streptophyta,Salicaceae,Populus
303,Boleophthalmus_pectinirostris,Permanent_Draft,PRJNA232434,EUKARYAL,Metazoa,Chordata,Gobiidae,Boleophthalmus
304,Capra_aegagrus,Complete_and_Published,PRJNA261263,EUKARYAL,Metazoa,Chordata,Bovidae,Capra
305,Catharanthus_roseus,Permanent_Draft,PRJNA252611,EUKARYAL,Viridiplantae,Streptophyta,Apocynaceae,Catharanthus
306,Dreissena_polymorpha,Permanent_Draft,PRJNA269790,EUKARYAL,Metazoa,Mollusca,Dreissenidae,Dreissena
307,Drosophila_albomicans,Complete_and_Published,PRJNA39511,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
308,Papilio_machaon,Permanent_Draft,PRJNA270386,EUKARYAL,Metazoa,Arthropoda,Papilionidae,Papilio
309,Papilio_xuthus,Permanent_Draft,PRJNA270384,EUKARYAL,Metazoa,Arthropoda,Papilionidae,Papilio
310,Scleropages_formosus,Permanent_Draft,PRJNA232741,EUKARYAL,Metazoa,Chordata,Osteoglossidae,Scleropages
311,Selaginella_kraussiana,Permanent_Draft,PRJNA284650,EUKARYAL,Viridiplantae,Streptophyta,Selaginellaceae,Selaginella
312,Zosterops_lateralis,Permanent_Draft,PRJNA277310,EUKARYAL,Metazoa,Chordata,Zosteropidae,Zosterops
313,Habropoda_laboriosa,Permanent_Draft,PRJNA279436,EUKARYAL,Metazoa,Arthropoda,Apidae,Habropoda
314,Eufriesea_mexicana,Permanent_Draft,PRJNA279814,EUKARYAL,Metazoa,Arthropoda,Apidae,Eufriesea
315,Dufourea_novaeangliae,Permanent_Draft,PRJNA279825,EUKARYAL,Metazoa,Arthropoda,Halictidae,Dufourea
316,Chlorella_vulgaris,Permanent_Draft,PRJNA278897,EUKARYAL,Viridiplantae,Chlorophyta,Chlorellaceae,Chlorella
317,Nasonia_giraulti,Permanent_Draft,PRJNA20223,EUKARYAL,Metazoa,Arthropoda,Pteromalidae,Nasonia
318,Callorhinchus_milii,Complete_and_Published,PRJNA18361,EUKARYAL,Metazoa,Chordata,Callorhinchidae,Callorhinchus
319,Pteropus_vampyrus,Complete_and_Published,PRJNA20325,EUKARYAL,Metazoa,Chordata,Pteropodidae,Pteropus
320,Bactrocera_oleae,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Tephritidae,Bactrocera
321,Coboldia_fuscipes,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Scatopsidae,Coboldia
322,Drosophila_busckii,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
323,Hermetia_illucens,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Stratiomyidae,Hermetia
324,Liriomyza_trifolii,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Agromyzidae,Liriomyza
325,Lucilia_sericata,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Calliphoridae,Lucilia
326,Mochlonyx_cinctipes,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Chaoboridae,Mochlonyx
327,Scaptodrosophila_lebanonensis,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Scaptodrosophila
328,Teleopsis_dalmanni,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Diopsidae,Teleopsis
329,Tipula_oleracea,Permanent_Draft,PRJNA268391,EUKARYAL,Metazoa,Arthropoda,Tipulidae,Tipula
330,Heliconius_cydno,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
331,Heliconius_elevatus,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
332,Heliconius_ethilla,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
333,Heliconius_hecale,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
334,Heliconius_ismenius,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
335,Heliconius_numata,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
336,Heliconius_pardalinus,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
337,Heliconius_timareta,Permanent_Draft,PRJEB8011,EUKARYAL,Metazoa,Arthropoda,Nymphalidae,Heliconius
338,Trichinella_pseudospiralis,Permanent_Draft,PRJNA257433,EUKARYAL,Metazoa,Nematoda,Trichinellidae,Trichinella
339,Cebus_capucinus,Permanent_Draft,PRJNA298580,EUKARYAL,Metazoa,Chordata,Cebidae,Cebus
340,Xiphophorus_hellerii,Permanent_Draft,PRJNA290782,EUKARYAL,Metazoa,Chordata,Poeciliidae,Xiphophorus
341,Squalius_pyrenaicus,Permanent_Draft,PRJEB9465,EUKARYAL,Metazoa,Chordata,Cyprinidae,Squalius
342,Xiphophorus_couchianus,Permanent_Draft,PRJNA290781,EUKARYAL,Metazoa,Chordata,Poeciliidae,Xiphophorus
343,Microtus_agrestis,Permanent_Draft,PRJNA290426,EUKARYAL,Metazoa,Chordata,Cricetidae,Microtus
344,Apodemus_sylvaticus,Permanent_Draft,PRJNA290427,EUKARYAL,Metazoa,Chordata,Muridae,Apodemus
345,Myodes_glareolus,Permanent_Draft,PRJNA290429,EUKARYAL,Metazoa,Chordata,Cricetidae,Myodes
346,Triops_cancriformis,Permanent_Draft,PRJDB1662,EUKARYAL,Metazoa,Arthropoda,Triopsidae,Triops
347,Miichthys_miiuy,Permanent_Draft,PRJNA272995,EUKARYAL,Metazoa,Chordata,Sciaenidae,Miichthys
348,Miniopterus_natalensis,Permanent_Draft,PRJNA283550,EUKARYAL,Metazoa,Chordata,Vespertilionidae,Miniopterus
349,Calidris_pugnax,Permanent_Draft,PRJEB11427,EUKARYAL,Metazoa,Chordata,Scolopacidae,Calidris
350,Lepidothrix_coronata,Permanent_Draft,PRJNA300662,EUKARYAL,Metazoa,Chordata,Pipridae,Lepidothrix
351,Achipteria_coleoptrata,Permanent_Draft,PRJNA280488,EUKARYAL,Metazoa,Arthropoda,Achipteriidae,Achipteria
352,Platynothrus_peltifer,Permanent_Draft,PRJNA280488,EUKARYAL,Metazoa,Arthropoda,Camisiidae,Platynothrus
353,Steganacarus_magnus,Permanent_Draft,PRJNA280488,EUKARYAL,Metazoa,Arthropoda,Steganacaridae,Steganacarus
354,Hypochthonius_rufulus,Permanent_Draft,PRJNA280488,EUKARYAL,Metazoa,Arthropoda,Hypochthoniidae,Hypochthonius
355,Nicotiana_tabacum,Permanent_Draft,PRJNA208210,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Nicotiana
356,Nicotiana_otophora,Permanent_Draft,PRJNA208212,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Nicotiana
357,Silene_latifolia,Permanent_Draft,PRJNA289891,EUKARYAL,Viridiplantae,Streptophyta,Caryophyllaceae,Silene
358,Gekko_japonicus,Permanent_Draft,PRJNA298277,EUKARYAL,Metazoa,Chordata,Gekkonidae,Gekko
359,Nicrophorus_vespilloides,Permanent_Draft,PRJNA284849,EUKARYAL,Metazoa,Arthropoda,Silphidae,Nicrophorus
360,Trachymyrmex_zeteki,Permanent_Draft,PRJNA292628,EUKARYAL,Metazoa,Arthropoda,Formicidae,Trachymyrmex
361,Trachymyrmex_septentrionalis,Permanent_Draft,PRJNA292625,EUKARYAL,Metazoa,Arthropoda,Formicidae,Trachymyrmex
362,Trachymyrmex_cornetzi,Permanent_Draft,PRJNA292627,EUKARYAL,Metazoa,Arthropoda,Formicidae,Trachymyrmex
363,Cyphomyrmex_costatus,Permanent_Draft,PRJNA292630,EUKARYAL,Metazoa,Arthropoda,Formicidae,Cyphomyrmex
364,Apis_cerana,Permanent_Draft,PRJNA235974,EUKARYAL,Metazoa,Arthropoda,Apidae,Apis
365,Amazona_aestiva,Permanent_Draft,PRJNA294082,EUKARYAL,Metazoa,Chordata,Psittacidae,Amazona
366,Balaenoptera_bonaerensis,Permanent_Draft,PRJDB1465,EUKARYAL,Metazoa,Chordata,Balaenopteridae,Balaenoptera
367,Vitis_aestivalis,Permanent_Draft,PRJNA302606,EUKARYAL,Viridiplantae,Streptophyta,Vitaceae,Vitis
368,Anopheles_koliensis,Permanent_Draft,PRJNA248827,EUKARYAL,Metazoa,Arthropoda,Culicidae,Anopheles
369,Anopheles_punctulatus,Permanent_Draft,PRJNA248827,EUKARYAL,Metazoa,Arthropoda,Culicidae,Anopheles
370,Marmota_marmota,Permanent_Draft,PRJEB8272,EUKARYAL,Metazoa,Chordata,Sciuridae,Marmota
371,Humulus_lupulus,Permanent_Draft,PRJDB3233,EUKARYAL,Viridiplantae,Streptophyta,Cannabaceae,Humulus
372,Lymnaea_stagnalis,Permanent_Draft,PRJEB11470,EUKARYAL,Metazoa,Mollusca,Lymnaeidae,Lymnaea
373,Aedes_albopictus,Permanent_Draft,PRJNA289460,EUKARYAL,Metazoa,Arthropoda,Culicidae,Aedes
374,Pantherophis_guttatus,Permanent_Draft,PRJNA268069,EUKARYAL,Metazoa,Chordata,Colubridae,Pantherophis
375,Fasciola_hepatica,Permanent_Draft,PRJEB6687,EUKARYAL,Metazoa,Platyhelminthes,Fasciolidae,Fasciola
376,Chironomus_tentans,Permanent_Draft,PRJEB1888,EUKARYAL,Metazoa,Arthropoda,Chironomidae,Chironomus
377,Sphaeromyxa_zaharoni,Permanent_Draft,PRJNA284326,EUKARYAL,Metazoa,Cnidaria,Sphaeromyxidae,Sphaeromyxa
378,Enteromyxum_leei,Permanent_Draft,PRJNA284325,EUKARYAL,Metazoa,Cnidaria,Myxidiidae,Enteromyxum
379,Wasmannia_auropunctata,Permanent_Draft,PRJDB3443,EUKARYAL,Metazoa,Arthropoda,Formicidae,Wasmannia
380,Papilio_polytes,Permanent_Draft,PRJDB2954,EUKARYAL,Metazoa,Arthropoda,Papilionidae,Papilio
381,Eulemur_flavifrons,Permanent_Draft,PRJNA284191,EUKARYAL,Metazoa,Chordata,Lemuridae,Eulemur
382,Eulemur_macaco,Permanent_Draft,PRJNA284191,EUKARYAL,Metazoa,Chordata,Lemuridae,Eulemur
383,Mentha_longifolia,Permanent_Draft,PRJNA310613,EUKARYAL,Viridiplantae,Streptophyta,Lamiaceae,Mentha
384,Lates_calcarifer,Permanent_Draft,PRJNA294489,EUKARYAL,Metazoa,Chordata,Centropomidae,Lates
385,Drosophila_americana,Permanent_Draft,PRJEB9848,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
386,Clupea_harengus,Permanent_Draft,PRJNA265919,EUKARYAL,Metazoa,Chordata,Clupeidae,Clupea
387,Ferrisia_virgata,Permanent_Draft,PRJEB12067,EUKARYAL,Metazoa,Arthropoda,Pseudococcidae,Ferrisia
388,Pseudococcus_longispinus,Permanent_Draft,PRJEB12068,EUKARYAL,Metazoa,Arthropoda,Pseudococcidae,Pseudococcus
389,Lasius_niger,Permanent_Draft,PRJNA269328,EUKARYAL,Metazoa,Arthropoda,Formicidae,Lasius
390,Zeugodacus_cucurbitae,Permanent_Draft,PRJNA259565,EUKARYAL,Metazoa,Arthropoda,Tephritidae,Zeugodacus
391,Oryza_officinalis,Complete_and_Published,PRJNA239525,EUKARYAL,Viridiplantae,Streptophyta,Poaceae,Oryza
392,Branchiostoma_belcheri,Permanent_Draft,PRJNA214454,EUKARYAL,Metazoa,Chordata,Branchiostomidae,Branchiostoma
393,Sinocyclocheilus_anshuiensis,Permanent_Draft,PRJNA274017,EUKARYAL,Metazoa,Chordata,Cyprinidae,Sinocyclocheilus
394,Sinocyclocheilus_grahami,Permanent_Draft,PRJNA274017,EUKARYAL,Metazoa,Chordata,Cyprinidae,Sinocyclocheilus
395,Sinocyclocheilus_rhinocerous,Permanent_Draft,PRJNA274017,EUKARYAL,Metazoa,Chordata,Cyprinidae,Sinocyclocheilus
396,Corbicula_fluminea,Permanent_Draft,PRJNA318156,EUKARYAL,Metazoa,Mollusca,Corbiculidae,Corbicula
397,Protobothrops_mucrosquamatus,Permanent_Draft,PRJDB4386,EUKARYAL,Metazoa,Chordata,Viperidae,Protobothrops
398,Caligus_rogercresseyi,Permanent_Draft,PRJNA280098,EUKARYAL,Metazoa,Arthropoda,Caligidae,Caligus
399,Anguilla_rostrata,Permanent_Draft,PRJNA285069,EUKARYAL,Metazoa,Chordata,Anguillidae,Anguilla
400,Sturnus_vulgaris,Permanent_Draft,PRJNA293892,EUKARYAL,Metazoa,Chordata,Sturnidae,Sturnus
401,Daphnia_magna,Permanent_Draft,PRJNA298946,EUKARYAL,Metazoa,Arthropoda,Daphniidae,Daphnia
402,Acinonyx_jubatus,Permanent_Draft,PRJNA297632,EUKARYAL,Metazoa,Chordata,Felidae,Acinonyx
403,Ptychodera_flava,Permanent_Draft,PRJDB3182,EUKARYAL,Metazoa,Hemichordata,Ptychoderidae,Ptychodera
404,Papilio_glaucus,Permanent_Draft,PRJNA270125,EUKARYAL,Metazoa,Arthropoda,Papilionidae,Papilio
405,Phoebis_sennae,Permanent_Draft,PRJNA308118,EUKARYAL,Metazoa,Arthropoda,Pieridae,Phoebis
406,Nanorana_parkeri,Permanent_Draft,PRJNA243398,EUKARYAL,Metazoa,Chordata,Dicroglossidae,Nanorana
407,Ceratina_calcarata,Permanent_Draft,PRJNA299559,EUKARYAL,Metazoa,Arthropoda,Apidae,Ceratina
408,Rousettus_aegyptiacus,Permanent_Draft,PRJNA303181,EUKARYAL,Metazoa,Chordata,Pteropodidae,Rousettus
409,Spinacia_oleracea,Permanent_Draft,PRJNA41497,EUKARYAL,Viridiplantae,Streptophyta,Chenopodiaceae,Spinacia
410,Hibiscus_syriacus,Permanent_Draft,PRJNA320964,EUKARYAL,Viridiplantae,Streptophyta,Malvaceae,Hibiscus
411,Vicia_faba,Permanent_Draft,PRJEB8906,EUKARYAL,Viridiplantae,Streptophyta,Fabaceae,Vicia
412,Nephila_clavipes,Permanent_Draft,PRJNA356433,EUKARYAL,Metazoa,Arthropoda,Nephilidae,Nephila
413,Nannopterum_auritus,Permanent_Draft,PRJNA327123,EUKARYAL,Metazoa,Chordata,Phalacrocoracidae,Nannopterum
414,Nannopterum_brasilianus,Permanent_Draft,PRJNA327123,EUKARYAL,Metazoa,Chordata,Phalacrocoracidae,Nannopterum
415,Urile_pelagicus,Permanent_Draft,PRJNA327123,EUKARYAL,Metazoa,Chordata,Phalacrocoracidae,Urile
416,Fagopyrum_esculentum,Permanent_Draft,PRJDB4232,EUKARYAL,Viridiplantae,Streptophyta,Polygonaceae,Fagopyrum
417,Chlamydomonas_debaryana,Permanent_Draft,PRJDB4711,EUKARYAL,Viridiplantae,Chlorophyta,Chlamydomonadaceae,Chlamydomonas
418,Cephalotus_follicularis,Permanent_Draft,PRJDB4484,EUKARYAL,Viridiplantae,Streptophyta,Cephalotaceae,Cephalotus
419,Meloidogyne_arenaria,Permanent_Draft,PRJEB8714,EUKARYAL,Metazoa,Nematoda,Meloidogynidae,Meloidogyne
420,Meloidogyne_javanica,Permanent_Draft,PRJEB8714,EUKARYAL,Metazoa,Nematoda,Meloidogynidae,Meloidogyne
421,Zaprionus_indianus,Permanent_Draft,PRJNA317406,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Zaprionus
422,Maccullochella_peelii,Permanent_Draft,PRJNA290988,EUKARYAL,Metazoa,Chordata,Percichthyidae,Maccullochella
423,Rhinolophus_sinicus,Permanent_Draft,PRJNA294852,EUKARYAL,Metazoa,Chordata,Rhinolophidae,Rhinolophus
424,Xenopus_laevis,Complete_and_Published,PRJNA313213,EUKARYAL,Metazoa,Chordata,Pipidae,Xenopus
425,Citrus_cavaleriei,Permanent_Draft,PRJNA321657,EUKARYAL,Viridiplantae,Streptophyta,Rutaceae,Citrus
426,Monomorium_pharaonis,Permanent_Draft,PRJDB3164,EUKARYAL,Metazoa,Arthropoda,Formicidae,Monomorium
427,Momordica_charantia,Permanent_Draft,PRJDB4642,EUKARYAL,Viridiplantae,Streptophyta,Cucurbitaceae,Momordica
428,Pinctada_martensii,Complete_and_Published,PRJNA283019,EUKARYAL,Metazoa,Mollusca,Pteriidae,Pinctada
429,Ursus_maritimus,Permanent_Draft,PRJNA210951,EUKARYAL,Metazoa,Chordata,Ursidae,Ursus
430,Ictalurus_punctatus,Complete_and_Published,PRJNA281269,EUKARYAL,Metazoa,Chordata,Ictaluridae,Ictalurus
