PF07679
PF00047
PF13927
PF00041
PF00271
PF00270
PF00566
PF07707
PF00651
PF00431
PF01094
PF00240
PF00001
PF12796
PF00149
PF13516
PF07645
PF07714
PF13895
PF00046
PF00625
PF00028
PF00443
PF00250
PF00008
PF02214
PF00520
PF00400
PF00078
PF13855
PF00071
PF00531
PF13499
PF00004
PF13639
PF00096
PF00169
PF00560
PF00090
PF01403
PF13637
PF00023
PF13920
PF00226
PF00643
PF13445
PF00059
PF00057
PF00153
PF00069
PF00179
PF01391
PF00373
PF09379
PF09380
PF00098
PF00092
PF14604
PF00435
PF03372
PF00089
PF00632
PF00060
PF00620
PF00063
PF00439
PF00176
PF13833
PF02932
PF02931
PF00612
PF01120
PF07690
PF01344
PF00856
PF13181
PF00104
PF00013
PF00076
PF00005
PF00664
PF12874
PF00628
PF00787
PF00615
PF00084
PF00122
PF13246
PF00009
PF00106
PF00085
PF13912
PF00397
PF00168
PF00319
PF00067
PF00501
PF00102
PF00134
PF00415
PF00685
PF00025
PF02210
PF00931
PF00536
PF00097
PF00514
PF00249
PF00412
PF00010
PF12937
PF01363
PF00225
PF00125
PF00621
PF00083
PF01490
PF00130
PF00002
PF00017
PF00622
PF00782
PF00498
PF00307
PF00027
PF00855
PF00617
PF00642
PF00595
PF00018
PF00105
PF07647
PF00646
PF00505
PF00702
PF07653
PF13041
PF01412
PF00481
PF00170
PF01582
PF08205
PF00433
PF00788
PF00335
PF01529
PF01535
PF00640
PF00650
PF13894
PF08263
PF07686
PF00079
PF00201
PF03171
PF00038
PF12854
PF00314
PF13765
PF13853
PF00847
PF01352
